AÑO,MES,AEROLINEA,IATA_BASE,TIPO_DE_VUELO,FLOTA,Ejecución
2023,Enero,SPIRIT,AXM,Transito,A320,14
2023,Febrero,SPIRIT,AXM,Transito,A320,12
2023,Marzo,SPIRIT,AXM,Transito,A320,13
2023,Abril,SPIRIT,AXM,Transito,A320,11
2023,Mayo,SPIRIT,AXM,Transito,A320,14
2023,Enero,AIR CENTURY,BAQ,Transito,CRJ200,1
2023,Febrero,AIR CENTURY,BAQ,Transito,CRJ200,2
2023,Marzo,AIR CENTURY,BAQ,Transito,CRJ200,3
2023,Abril,AIR CENTURY,BAQ,Transito,CRJ200,2
2023,Enero,AIRTRANSAT,BAQ,Escala Técnica,A321,1
2023,Marzo,LAS,BAQ,Transito,B737,1
2023,Enero,SPIRIT,BAQ,Transito,A320,31
2023,Febrero,SPIRIT,BAQ,Transito,A320,28
2023,Marzo,SPIRIT,BAQ,Transito,A320,31
2023,Abril,SPIRIT,BAQ,Transito,A320,28
2023,Mayo,SPIRIT,BAQ,Transito,A320,31
2023,Enero,AVIANCA,BGA,Base,A319,4
2023,Marzo,AVIANCA,BGA,Base,A319,3
2023,Abril,AVIANCA,BGA,Base,A319,1
2023,Enero,AVIANCA,BGA,Base,A320,30
2023,Febrero,AVIANCA,BGA,Base,A320,28
2023,Marzo,AVIANCA,BGA,Base,A320,27
2023,Abril,AVIANCA,BGA,Base,A320,26
2023,Enero,AVIANCA,BGA,Ferry out,A319,1
2023,Febrero,AVIANCA,BGA,Ferry out,A320,1
2023,Marzo,AVIANCA,BGA,Ferry out,A320,1
2023,Marzo,AVIANCA,BGA,Pernocta,A320,0
2023,Febrero,AVIANCA,BGA,Regreso,A320,0
2023,Enero,AVIANCA,BGA,Transito,A319,26
2023,Febrero,AVIANCA,BGA,Transito,A319,24
2023,Marzo,AVIANCA,BGA,Transito,A319,33
2023,Abril,AVIANCA,BGA,Transito,A319,43
2023,Enero,AVIANCA,BGA,Transito,A320,343
2023,Febrero,AVIANCA,BGA,Transito,A320,303
2023,Marzo,AVIANCA,BGA,Transito,A320,332
2023,Abril,AVIANCA,BGA,Transito,A320,225
2023,Marzo,AVIANCA EXPRESS,BGA,Transito,A319,8
2023,Abril,AVIANCA EXPRESS,BGA,Transito,A319,21
2023,Enero,AVIANCA EXPRESS,BGA,Transito,A320,1
2023,Febrero,AVIANCA EXPRESS,BGA,Transito,A320,2
2023,Marzo,AVIANCA EXPRESS,BGA,Transito,A320,5
2023,Abril,AVIANCA EXPRESS,BGA,Transito,A320,35
2023,Marzo,SPIRIT,BGA,Transito,A319,1
2023,Enero,SPIRIT,BGA,Transito,A320,13
2023,Febrero,SPIRIT,BGA,Transito,A320,12
2023,Marzo,SPIRIT,BGA,Transito,A320,13
2023,Abril,SPIRIT,BGA,Transito,A320,11
2023,Abril,AEROLINEAS ARGENTINAS,BOG,Transito,B737,11
2023,Mayo,AEROLINEAS ARGENTINAS,BOG,Transito,B737,14
2023,Junio,AEROLINEAS ARGENTINAS,BOG,Transito,B737,26
2023,Enero,AEROLINEAS GALAPAGOS,BOG,Base,A319,1
2023,Febrero,AEROLINEAS GALAPAGOS,BOG,Base,A319,2
2023,Mayo,AEROLINEAS GALAPAGOS,BOG,Base,A319,2
2023,Enero,AEROLINEAS GALAPAGOS,BOG,Base,A320,11
2023,Febrero,AEROLINEAS GALAPAGOS,BOG,Base,A320,16
2023,Marzo,AEROLINEAS GALAPAGOS,BOG,Base,A320,18
2023,Abril,AEROLINEAS GALAPAGOS,BOG,Base,A320,19
2023,Mayo,AEROLINEAS GALAPAGOS,BOG,Base,A320,9
2023,Marzo,AEROLINEAS GALAPAGOS,BOG,Cancelacion,A320,0
2023,Enero,AEROLINEAS GALAPAGOS,BOG,Escala Técnica,A320,1
2023,Abril,AEROLINEAS GALAPAGOS,BOG,Ferry,A319,2
2023,Marzo,AEROLINEAS GALAPAGOS,BOG,Ferry,A320,2
2023,Abril,AEROLINEAS GALAPAGOS,BOG,Ferry,A320,1
2023,Mayo,AEROLINEAS GALAPAGOS,BOG,Ferry,A320,2
2023,Abril,AEROLINEAS GALAPAGOS,BOG,Parqueo,A319,0
2023,Mayo,AEROLINEAS GALAPAGOS,BOG,Parqueo,A319,0
2023,Enero,AEROLINEAS GALAPAGOS,BOG,Parqueo,A320,0
2023,Febrero,AEROLINEAS GALAPAGOS,BOG,Parqueo,A320,0
2023,Marzo,AEROLINEAS GALAPAGOS,BOG,Parqueo,A320,0
2023,Abril,AEROLINEAS GALAPAGOS,BOG,Parqueo,A320,0
2023,Mayo,AEROLINEAS GALAPAGOS,BOG,Parqueo,A320,0
2023,Abril,AEROLINEAS GALAPAGOS,BOG,Retorno,A320,0
2023,Enero,AEROLINEAS GALAPAGOS,BOG,Transito,A319,1
2023,Febrero,AEROLINEAS GALAPAGOS,BOG,Transito,A319,1
2023,Marzo,AEROLINEAS GALAPAGOS,BOG,Transito,A319,1
2023,Mayo,AEROLINEAS GALAPAGOS,BOG,Transito,A319,23
2023,Enero,AEROLINEAS GALAPAGOS,BOG,Transito,A320,169
2023,Febrero,AEROLINEAS GALAPAGOS,BOG,Transito,A320,145
2023,Marzo,AEROLINEAS GALAPAGOS,BOG,Transito,A320,162
2023,Abril,AEROLINEAS GALAPAGOS,BOG,Transito,A320,157
2023,Mayo,AEROLINEAS GALAPAGOS,BOG,Transito,A320,167
2023,Febrero,AEROMEXICO,BOG,Base,B737,2
2023,Abril,AEROMEXICO,BOG,Base,B737,28
2023,Junio,AEROMEXICO,BOG,Base,B787,1
2023,Enero,AEROMEXICO,BOG,Transito,B737,92
2023,Febrero,AEROMEXICO,BOG,Transito,B737,81
2023,Marzo,AEROMEXICO,BOG,Transito,B737,91
2023,Abril,AEROMEXICO,BOG,Transito,B737,34
2023,Mayo,AEROMEXICO,BOG,Transito,B737,93
2023,Junio,AEROMEXICO,BOG,Transito,B737,78
2023,Marzo,AEROMEXICO,BOG,Transito,B787,2
2023,Junio,AEROMEXICO,BOG,Transito,B787,1
2023,Marzo,AIR FRANCE,BOG,Transito,A350/9,6
2023,Abril,AIR FRANCE,BOG,Transito,A350/9,29
2023,Mayo,AIR FRANCE,BOG,Transito,A350/9,30
2023,Junio,AIR FRANCE,BOG,Transito,A350/9,25
2023,Abril,ARAJET,BOG,Transito,B737,3
2023,Mayo,ARAJET,BOG,Transito,B737,3
2023,Junio,ARAJET,BOG,Transito,B737,11
2023,Enero,AVIANCA,BOG,Base,A319,128
2023,Febrero,AVIANCA,BOG,Base,A319,111
2023,Marzo,AVIANCA,BOG,Base,A319,87
2023,Abril,AVIANCA,BOG,Base,A319,102
2023,Mayo,AVIANCA,BOG,Base,A319,81
